cliente_id;idade;genero;uf;data_cadastro
1;56;F;ES;2024-11-15
2;46;M;PR;2024-09-06
3;32;Outro;ES;2022-07-24
4;60;F;SC;2021-01-25
5;25;Outro;SP;2021-09-17
6;38;M;ES;2022-05-12
7;56;Outro;PR;2024-05-21
8;36;M;SP;2021-04-25
9;40;F;RS;2022-03-28
10;28;M;PR;2022-12-01
11;28;F;PR;2023-02-11
12;41;F;RS;2025-07-30
13;53;F;RS;2025-02-22
14;57;F;RJ;2025-06-14
15;41;F;MG;2025-10-23
16;20;M;ES;2025-04-01
17;39;Outro;ES;2025-08-10
18;19;F;RJ;2022-01-20
19;41;;SC;2022-09-05
20;61;Outro;ES;2024-12-12
21;47;F;RS;2023-09-16
22;55;F;RJ;2021-08-07
23;19;M;ES;2023-05-30
24;38;F;ES;2022-07-11
25;50;M;PR;2023-12-23
26;29;M;RJ;2021-12-16
27;39;F;RS;2022-01-25
28;61;F;SC;2023-03-15
29;42;F;ES;2022-01-12
30;44;F;SC;2023-05-21
31;59;F;MG;2021-03-07
32;45;M;RJ;2024-02-17
33;33;F;RJ;2023-01-16
34;32;;RJ;2021-01-08
35;64;F;RS;2025-09-27
36;61;M;RS;2025-10-29
37;20;M;PR;2021-01-27
38;54;;RJ;2021-10-17
39;24;M;PR;2021-01-28
40;38;F;RS;2024-03-28
41;26;;MG;2024-03-14
42;56;M;SP;2022-04-12
43;35;F;PR;2025-11-05
44;21;M;ES;2021-04-18
45;42;M;RJ;2023-06-10
46;31;F;SP;2022-03-15
47;26;F;PR;2021-07-22
48;43;M;SC;2023-02-16
49;19;M;RS;2023-09-17
50;37;F;SC;2021-10-28
51;45;F;ES;2022-03-14
52;64;F;SP;2023-11-01
53;24;M;MG;2023-04-17
54;61;M;PR;2022-08-30
55;25;F;SC;2022-10-04
56;64;F;SC;2024-02-01
57;52;F;PR;2025-02-18
58;31;M;SC;2021-04-20
59;34;F;MG;2022-10-05
60;53;F;SC;2022-12-04
61;57;F;PR;2024-01-22
62;21;F;RJ;2023-03-12
63;19;F;SC;2025-10-08
64;23;F;PR;2023-05-20
65;59;Outro;RJ;2025-04-14
66;21;F;SC;2023-07-08
67;46;F;SC;2025-09-19
68;35;Outro;PR;2023-04-29
69;43;F;ES;2022-05-22
70;61;F;ES;2021-06-26
71;51;F;SP;2025-01-02
72;27;M;ES;2022-10-30
73;53;F;MG;2025-11-17
74;31;M;SP;2025-10-01
75;48;F;ES;2022-05-26
76;32;F;RJ;2021-04-19
77;25;M;RS;2023-05-22
78;31;;PR;2024-01-01
79;40;F;ES;2022-05-04
80;57;M;RJ;2023-01-03
81;38;F;RS;2021-10-08
82;33;F;SP;2023-06-22
83;62;F;PR;2024-05-22
84;35;F;ES;2025-01-20
85;64;F;SP;2025-05-30
86;41;F;ES;2022-02-22
87;43;F;SP;2023-01-24
88;42;F;ES;2025-03-14
89;62;Outro;RS;2022-10-24
90;58;;RJ;2024-09-08
91;46;M;MG;2024-04-16
92;32;F;RS;2022-11-19
93;62;F;RJ;2021-04-14
94;18;M;PR;2024-02-17
95;42;;ES;2022-12-13
96;24;F;MG;2022-08-05
97;26;M;RS;2021-02-26
98;41;;MG;2024-12-03
99;18;M;PR;2022-08-01
100;61;F;PR;2023-12-18
101;25;F;MG;2021-04-27
102;41;F;PR;2024-12-19
103;28;F;PR;2023-03-30
104;34;F;ES;2023-11-11
105;25;F;RJ;2021-03-20
106;52;M;SC;2022-07-13
107;52;F;SP;2023-06-05
108;50;F;MG;2025-09-03
109;22;F;SP;2025-06-08
110;59;M;MG;2021-04-18
111;56;M;MG;2023-03-10
112;58;F;RJ;2024-07-18
113;45;M;RS;2022-11-19
114;24;F;RS;2025-02-08
115;26;F;MG;2021-03-11
116;25;M;MG;2022-01-22
117;29;F;RJ;2024-04-04
118;51;F;PR;2023-05-05
119;50;F;RS;2023-12-18
120;40;F;SC;2025-01-14
121;41;F;SP;2021-09-02
122;54;M;MG;2023-12-05
123;52;F;RJ;2022-11-15
124;61;;MG;2025-12-05
125;57;F;RS;2024-11-07
126;39;F;RJ;2025-05-21
127;44;F;SP;2025-09-21
128;52;F;ES;2023-02-24
129;18;F;RS;2021-03-12
130;52;F;PR;2025-04-21
131;54;F;ES;2024-06-16
132;64;M;RJ;2025-05-23
133;31;F;MG;2021-04-18
134;20;M;PR;2024-05-16
135;18;M;RS;2022-12-23
136;22;F;SP;2021-10-29
137;43;F;RS;2024-12-24
138;31;F;SC;2024-10-03
139;56;M;PR;2024-02-05
140;44;F;MG;2022-06-12
141;26;F;ES;2025-11-10
142;32;F;RJ;2024-11-30
143;32;F;ES;2025-10-24
144;43;F;RS;2023-08-10
145;59;M;PR;2021-09-13
146;30;F;SC;2024-08-17
147;49;Outro;MG;2023-08-12
148;56;M;RJ;2023-07-13
149;49;F;MG;2024-03-14
150;21;F;MG;2025-08-27
151;47;F;SC;2025-03-28
152;54;F;PR;2022-07-16
153;40;F;ES;2021-12-26
154;56;;MG;2025-03-28
155;62;F;RS;2025-02-16
156;32;F;RS;2024-04-28
157;60;F;MG;2021-10-23
158;46;F;MG;2021-04-03
159;53;M;RJ;2024-02-28
160;30;F;MG;2023-05-11
161;49;F;RS;2023-09-17
162;24;F;MG;2022-04-29
163;39;M;PR;2023-05-26
164;45;F;RS;2024-12-03
165;19;;MG;2021-12-07
166;59;F;SC;2024-05-22
167;62;F;SC;2021-11-26
168;23;F;RS;2023-03-10
169;45;F;MG;2024-04-13
170;45;F;SC;2025-01-07
171;61;F;PR;2021-07-20
172;61;F;RJ;2025-06-29
173;37;F;SC;2023-01-13
174;47;F;RS;2021-04-08
175;28;F;SC;2024-02-01
176;45;M;ES;2025-04-26
177;42;F;PR;2024-03-20
178;56;F;SC;2024-07-15
179;50;F;RJ;2023-04-19
180;18;M;ES;2021-12-18
181;44;M;RS;2022-04-12
182;30;F;RS;2024-07-25
183;58;F;MG;2025-05-11
184;20;M;PR;2023-11-06
185;56;;SC;2022-04-01
186;23;M;MG;2025-10-24
187;25;;PR;2024-04-17
188;44;M;RS;2024-03-03
189;26;M;ES;2021-09-15
190;54;F;SC;2021-03-03
191;50;F;RS;2022-04-27
192;59;F;RJ;2025-02-09
193;61;M;PR;2023-09-27
194;41;Outro;RS;2022-09-27
195;32;F;RS;2023-12-02
196;49;F;RJ;2024-10-28
197;49;F;MG;2024-10-28
198;41;F;RS;2024-08-15
199;58;F;MG;2023-12-12
200;29;F;ES;2024-11-03
201;56;Outro;ES;2023-07-05
202;19;F;SP;2021-11-08
203;20;F;SP;2022-08-02
204;54;F;ES;2021-02-28
205;34;F;SC;2021-10-31
206;19;M;MG;2021-02-04
207;19;F;RJ;2022-10-10
208;45;F;RS;2023-10-08
209;40;F;RS;2025-05-31
210;54;F;ES;2025-11-13
211;49;F;SC;2022-05-08
212;50;F;RJ;2022-05-06
213;18;F;SP;2021-08-09
214;36;F;RJ;2025-06-09
215;19;F;ES;2021-05-03
216;61;F;MG;2022-12-08
217;43;F;ES;2024-01-31
218;49;M;RS;2023-06-06
219;23;Outro;RS;2025-03-19
220;49;F;PR;2024-08-29
221;21;F;SC;2025-03-10
222;28;F;SC;2022-05-09
223;34;F;SC;2023-01-29
224;55;F;PR;2025-08-11
225;41;M;PR;2024-05-07
226;22;M;MG;2022-09-25
227;51;F;SC;2025-09-01
228;23;F;ES;2025-03-17
229;39;Outro;PR;2021-11-26
230;28;F;ES;2025-07-03
231;33;F;SP;2023-08-30
232;50;;SC;2024-09-12
233;26;M;PR;2021-01-10
234;23;M;PR;2021-05-07
235;33;F;MG;2023-09-12
236;46;F;ES;2022-10-31
237;20;F;MG;2021-08-19
238;37;F;MG;2023-11-05
239;53;F;ES;2022-05-02
240;36;M;SP;2022-03-18
241;43;M;ES;2023-05-28
242;20;F;SP;2025-05-01
243;36;F;MG;2021-10-01
244;37;F;SP;2022-09-10
245;49;M;SC;2023-10-24
246;24;F;SP;2021-11-22
247;58;M;SP;2021-09-10
248;50;F;PR;2025-04-07
249;57;F;PR;2023-12-15
250;56;M;RS;2023-06-05
251;35;F;MG;2022-03-24
252;57;F;ES;2024-08-13
253;18;M;SP;2025-07-04
254;28;F;SC;2022-01-08
255;45;F;PR;2025-10-25
256;42;F;ES;2022-04-14
257;40;F;SC;2023-01-30
258;48;M;SP;2024-03-05
259;47;M;ES;2023-04-13
260;59;M;RS;2024-06-23
261;52;F;SC;2021-03-11
262;24;F;RJ;2022-04-26
263;33;F;SC;2022-06-14
264;43;M;SC;2022-05-05
265;19;F;SP;2022-05-18
266;18;M;ES;2023-10-06
267;29;M;SP;2025-09-18
268;22;F;SP;2021-04-27
269;54;F;RJ;2024-07-04
270;49;F;RS;2022-08-30
271;26;M;SC;2023-07-08
272;58;F;ES;2023-06-23
273;52;Outro;RS;2022-03-04
274;36;F;MG;2024-02-13
275;33;;PR;2022-05-09
276;20;F;RS;2021-03-03
277;37;F;SP;2022-05-12
278;41;M;SP;2022-09-28
279;50;M;SP;2021-03-21
280;41;F;SP;2025-08-10
281;28;M;PR;2022-04-30
282;25;M;MG;2023-11-12
283;53;F;RJ;2022-08-18
284;55;F;MG;2024-09-09
285;57;M;PR;2025-03-21
286;37;F;ES;2021-09-18
287;52;F;RJ;2021-05-09
288;42;M;RJ;2022-09-18
289;52;F;ES;2021-10-11
290;42;F;SC;2023-12-07
291;46;;SP;2024-04-26
292;35;F;PR;2021-01-19
293;63;M;ES;2022-08-22
294;35;M;MG;2022-10-16
295;19;F;MG;2023-02-02
296;52;F;SC;2023-04-18
297;33;F;ES;2023-10-29
298;58;F;PR;2023-11-27
299;53;M;SC;2025-06-10
300;50;F;SC;2021-03-13
301;21;F;SC;2024-11-05
302;50;F;RJ;2024-07-13
303;31;F;RJ;2023-12-27
304;38;F;SP;2022-10-15
305;37;F;PR;2021-03-05
306;25;F;MG;2021-01-30
307;24;F;MG;2022-07-11
308;20;F;SP;2022-10-08
309;34;F;MG;2023-11-06
310;50;M;SC;2021-10-05
311;29;F;SP;2025-10-21
312;39;F;SP;2021-10-04
313;39;F;ES;2021-08-09
314;63;F;RJ;2024-05-01
315;47;F;PR;2022-11-01
316;55;Outro;PR;2023-11-14
317;55;F;RJ;2023-04-12
318;62;;SC;2021-05-21
319;25;F;PR;2023-01-04
320;44;F;MG;2021-01-26
321;44;F;MG;2021-04-08
322;51;F;PR;2021-10-03
323;38;F;RS;2022-07-27
324;47;F;RS;2023-06-11
325;50;F;ES;2024-06-20
326;45;F;PR;2022-03-09
327;64;F;SP;2021-01-09
328;50;F;SC;2023-06-15
329;22;F;SP;2023-05-19
330;36;M;RJ;2023-07-22
331;21;M;SC;2021-09-29
332;52;F;SC;2025-12-01
333;34;F;MG;2021-02-01
334;61;F;SC;2023-05-02
335;45;M;ES;2022-08-28
336;47;F;PR;2025-02-11
337;46;M;SP;2024-02-26
338;63;F;MG;2025-11-08
339;23;F;RS;2021-01-17
340;52;F;MG;2025-04-26
341;58;F;ES;2025-02-05
342;54;M;ES;2021-10-28
343;41;F;ES;2021-02-11
344;46;F;ES;2021-02-21
345;63;F;RS;2021-07-07
346;48;F;SP;2021-05-31
347;52;F;ES;2024-06-21
348;50;F;MG;2025-02-23
349;38;F;MG;2024-02-25
350;49;F;RS;2025-10-07
351;40;M;SC;2022-02-13
352;50;F;PR;2025-06-24
353;20;F;MG;2021-12-10
354;35;F;MG;2022-08-14
355;42;Outro;RS;2025-09-15
356;59;F;SP;2024-01-27
357;48;F;SC;2023-12-28
358;20;Outro;MG;2023-04-26
359;57;F;RJ;2023-06-19
360;63;;MG;2021-01-28
361;41;F;PR;2023-11-19
